,Action,Drama,Supernatural,Suspense,Adventure,Fantasy,Comedy,Romance,Horror,Sci-Fi,Ecchi,Mystery,Sports,Award Winning,Avant Garde,Slice of Life,Gourmet,Boys Love,Girls Love,Hentai,Erotica,Score
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.531
1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.621
2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.131
3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.511
4,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.201
5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.921
6,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.971
7,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.791
8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.531
9,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.041
10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.861
11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.501
12,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.081
13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.141
14,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.101
15,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.241
16,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.701
17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.621
18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.951
19,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.101
20,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.661
21,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.671
22,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.961
23,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.241
24,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.671
25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.071
26,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.071
27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.071
28,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.471
29,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8.311
30,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.701
31,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.441
32,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.701
33,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.481
34,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.101
35,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.511
36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.451
37,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.121
38,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8.531
39,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.881
40,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8.351
41,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.821
42,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.751
43,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8.781
44,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.031
45,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.581
46,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.911
47,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,8.341
48,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.161
49,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.041
50,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.671
51,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.491
52,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.261
53,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,8.171
54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.931
55,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.291
56,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.351
57,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.841
58,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.411
59,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.321
60,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.631
61,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.481
62,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7.231
63,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.911
64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.751
65,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.771
66,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7.501
67,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.131
68,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.921
69,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.011
70,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.561
71,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.291
72,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7.081
73,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.121
74,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.271
75,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.171
76,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.011
77,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.261
78,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8.121
79,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8.341
80,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7.341
81,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.021
82,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.811
83,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.641
84,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.501
85,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,8.091
86,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.721
87,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.651
88,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.131
89,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.491
90,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8.671
91,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.821
92,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.361
93,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.731
94,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.661
95,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.101
96,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7.161
